# global.columns = S:TEXT_LINE_ID ID FORM S:ANVAYAPOS S:VIŚLEṢAṆA S:VIGRAHA S:DHĀTU S:VYUTPATTI S:HGLOSS								
# columnstsv = S:TEXT_LINE_ID	ID	FORM	S:ANVAYAPOS	S:VIŚLEṢAṆA	S:VIGRAHA	S:DHĀTU	S:VYUTPATTI	S:HGLOSS
## text = मधुराष्टकम्								
## authors = वल्लभाचार्य								
## commentators = नीतिका जिंदल, सर्वेश्वर राउ दुड्डु								
# text_line = अधरं मधुरं वदनं मधुरं नयनं मधुरं हसितं मधुरम् । हृदयं मधुरं गमनं मधुरं मधुराधिपतेरखिलं मधुरम् ॥								
# text_line_hi = होँठ सुधामय, मुख आकर्षक, आँख मनोहर, उन्मादक हँसी । रमणीय हृदय और मनमोहक गति, माधुर्योँ के स्वामी का सब कुछ मधुर ॥								
# text_line_id = 1								
1	1	अधरम्	1	अधर नपुं 1 एक	<न-धर>Tn	धृ (धृञ्) धारणे भ्वादिः	नञ्+धृ+अच्	नीचे का ओष्ठ, होँठ
1	2	मधुरम्	2	मधुर नपुं 1 एक			मधु+र	मधुर, सुधामय
1	3	वदनम्	3	वदन नपुं 1 एक		वद् (वदँ) व्यक्तायां वाचि भ्वादिः	वद्+ल्युट्	मुख
1	4	मधुरम्	4	मधुर नपुं 1 एक			मधु+र	मधुर, आकर्षक
1	5	नयनम्	5	नयन नपुं 1 एक		नी (णीञ्) प्रापणे भ्वादिः	नी+ल्युट्	आँख
1	6	मधुरम्	6	मधुर नपुं 1 एक			मधु+र	मधुर, मनोहर
1	7	हसितम्	7	हसित नपुं 1 एक		हस् (हसेँ) हसने भ्वादिः	हस्+क्त	हास्य; हँसी
1	8	मधुरम्	8	मधुर नपुं 1 एक			मधु+र	मधुर, उन्मादक
1	9	।						
1	10	हृदयम्	9	हृदय नपुं 1 एक		हृ (हृञ्) हरणे भ्वादिः	हृ+कयन्+दुक्	(श्री का निवास) हृदय; (विविध भावोँ से युक्त भक्तोँ का) मन
1	11	मधुरम्	10	मधुर नपुं 1 एक			मधु+र	मधुर, रमणीय
1	12	गमनम्	11	गमन नपुं 1 एक		गम् (गमॢँ) गतौ भ्वादिः	गम्+ल्युट्	(गोचारण, चौर्यादि के लिए) जाना; (हृदय मेँ उनके लीला भावोँ का) अनुभव अथवा गति
1	13	मधुरम्	12	मधुर नपुं 1 एक			मधु+र	मधुर, मनमोहक
1	14-15	मधुराधिपतेः	13	मधुराधिपति पुं 6 एक	<मधुर नपुं-अधिपति पुं>T6,बहु			(इन) माधुर्योँ के स्वामी का
1	14	मधुर		मधुर			मधु+र	माधुर्य
1	15	अधिपतेः		अधिपति पुं 6 एक		पा (पा) रक्षणे अदादिः	अधि+पा+डति	स्वामी
1	16	अखिलम्	14	अखिल नपुं 1 एक	<न-खिल>Tn		नञ्+खिल्+कः	(कथनीय एवं अकथनीय) सब कुछ, संपूर्ण
1	17	मधुरम्	15	मधुर नपुं 1 एक			मधु+र	मधुर, मधुमय; रसमय; आनंदमय
1	18	॥	16					
								
# text_line = वचनं मधुरं चरितं मधुरं वसनं मधुरं वलितं मधुरम् । चलितं मधुरं भ्रमितं मधुरं मधुराधिपतेरखिलं मधुरम् ॥								
# text_line_hi = बोल मीठा, व्यवहार प्यारा, वस्त्र आकर्षक, सुंदर मुद्रा । कृपालु चाल और सुखमय भ्रमण, माधुर्योँ के स्वामी का सब कुछ मधुर ॥								
# text_line_id = 2								
2	1	वचनम्	1	वचन नपुं 1 एक		वच् (वचँ) परिभाषणे अदादिः	वच्+ल्युट्	बोलने, उच्चारण करने या कहने की क्रिया; बोल, उक्ति
2	2	मधुरम्	2	मधुर नपुं 1 एक			मधु+र	मधुर, मीठा
2	3	चरितम्	3	चरित नपुं 1 एक		चर् (चरँ) गतौ भ्वादिः	चर्+क्त	कृत्य, कर्म, व्यवहार, आचरण; जीवनी
2	4	मधुरम्	4	मधुर नपुं 1 एक			मधु+र	मधुर, प्यारा
2	5	वसनम्	5	वसन नपुं 1 एक		वस् (वसँ) आच्छादने अदादिः	वस्+ल्युट्	वस्त्र; निवास
2	6	मधुरम्	6	मधुर नपुं 1 एक			मधु+र	मधुर, आकर्षक
2	7	वलितम्	7	वलित नपुं 1 एक		वल् (वलँ) सञ्चरणे भ्वादिः	वल्+क्त	मार्गरोधन, घेराव; (त्रिभंग) मुद्रा, भाव भंगिमा, (शरीर का) घुमाव
2	8	मधुरम्	8	मधुर नपुं 1 एक			मधु+र	मधुर, सुंदर
2	9	।						
2	10	चलितम्	9	चलित नपुं 1 एक		चल् (चलँ) कल्पने भ्वादिः	चल्+क्त	(भक्तोँ के ओर) चलना, चाल
2	11	मधुरम्	10	मधुर नपुं 1 एक			मधु+र	मधुर, कृपालु
